name,capital,region,population,area,languages,flag
Peru,Lima,Americas,31488700,1285216.0,Spanish,https://restcountries.eu/data/per.svg
Uruguay,Montevideo,Americas,3480222,181034.0,Spanish,https://restcountries.eu/data/ury.svg
Spain,Madrid,Europe,46438422,505992.0,Spanish,https://restcountries.eu/data/esp.svg
Colombia,Bogotá,Americas,48759958,1141748.0,Spanish,https://restcountries.eu/data/col.svg
Venezuela (Bolivarian Republic of),Caracas,Americas,31028700,916445.0,Spanish,https://restcountries.eu/data/ven.svg
Spain,Madrid,Europe,46438422,505992.0,Spanish,https://restcountries.eu/data/esp.svg
Brazil,Brasília,Americas,206135893,8515767.0,Portuguese,https://restcountries.eu/data/bra.svg
Brazil,Brasília,Americas,206135893,8515767.0,Portuguese,https://restcountries.eu/data/bra.svg
Brazil,Brasília,Americas,206135893,8515767.0,Portuguese,https://restcountries.eu/data/bra.svg
Brazil,Brasília,Americas,206135893,8515767.0,Portuguese,https://restcountries.eu/data/bra.svg
Saudi Arabia,Riyadh,Asia,32248200,2149690.0,Arabic,https://restcountries.eu/data/sau.svg
Saudi Arabia,Riyadh,Asia,32248200,2149690.0,Arabic,https://restcountries.eu/data/sau.svg
Peru,Lima,Americas,31488700,1285216.0,Spanish,https://restcountries.eu/data/per.svg
Saudi Arabia,Riyadh,Asia,32248200,2149690.0,Arabic,https://restcountries.eu/data/sau.svg
Peru,Lima,Americas,31488700,1285216.0,Spanish,https://restcountries.eu/data/per.svg
